CODE_NUTS3,POP_DENS,POP 0-14,POP 15-29,POP 30-44,POP 45-59,POP_GROWTH,HOUSEHOLDS,DWELLINGS
UKH11,592.0,44902.0,35668.0,45004.0,37987.0,7.0,85218,84154
DE21D,88.0,11120.0,14269.0,14618.0,20830.0,4.0,46766,47863
DEB17,261.0,28615.0,33735.0,36974.0,51916.0,2.0,101446,32704
DEE08,127.0,20991.0,20043.0,29985.0,44343.0,-3.0,93924,104251
DEF05,93.0,17115.0,21288.0,20201.0,31983.0,0.0,66353,69710
DE926,103.0,8645.0,11089.0,10618.0,16947.0,-1.0,36274,38669
DEF09,492.0,44044.0,47846.0,55372.0,77027.0,4.0,154347,153527
DE916,143.0,15123.0,21852.0,20551.0,32610.0,0.0,76652,81165
NL411,501.0,95999.0,113970.0,110601.0,143526.0,2.0,288574,285320
UKI52,3116.0,105011.0,89776.0,102824.0,88057.0,7.0,194784,178047
DEF0B,125.0,37404.0,40857.0,43474.0,68398.0,2.0,132913,135449
SE214,19.0,9217.0,9871.0,9387.0,11734.0,4.0,27798,29170
DEC01,800.0,40173.0,57893.0,57308.0,74817.0,1.0,175686,177430
UKC11,978.0,54266.0,51717.0,53791.0,61323.0,2.0,127966,131141
RO121,52.0,48136.0,50796.0,65858.0,70284.0,-3.0,114314,153401
UKM72,288.0,69763.0,75653.0,73826.0,93347.0,2.0,194614,203119
UKJ35,1965.0,78725.0,75751.0,81281.0,99015.0,3.0,202690,201194
UKM93,148.0,40986.0,43072.0,42014.0,57287.0,0.0,117037,127284
DE501,1748.0,75064.0,107166.0,110495.0,122047.0,4.0,308420,295273
DEB3G,123.0,8672.0,10671.0,11105.0,17544.0,-1.0,32394,37428
DEA2D,784.0,70837.0,119541.0,95811.0,120854.0,2.0,283294,285331
DE931,116.0,25293.0,28079.0,29808.0,41480.0,2.0,88628,89521
UKF12,573.0,45813.0,46808.0,49039.0,64318.0,2.0,131498,132052
FRG03,59.0,56729.0,47814.0,52194.0,61472.0,0.0,132735,155485
DEB36,456.0,7021.0,8308.0,8644.0,12606.0,2.0,27072,28597
UKI75,4093.0,96497.0,78054.0,116955.0,94052.0,3.0,194602,187209
DEA15,1540.0,35751.0,46630.0,46896.0,60748.0,3.0,134768,137800
FRC13,64.0,88535.0,76907.0,89256.0,113949.0,-1.0,252943,308912
UKM95,181.0,52468.0,53376.0,58339.0,73731.0,2.0,147463,152649
DEG0M,158.0,10124.0,9198.0,13841.0,21883.0,-4.0,49404,55952
DEE01,331.0,9054.0,9395.0,12654.0,18567.0,-3.0,45894,49898
DE25C,98.0,12859.0,15733.0,16302.0,22726.0,3.0,44518,44676
SE331,5.0,45515.0,54533.0,49352.0,48138.0,3.0,129104,140988
DEB1A,156.0,15771.0,18531.0,20170.0,30011.0,0.0,58100,89658
DED21,1692.0,80510.0,103495.0,119692.0,99914.0,4.0,303086,307942
FRI21,41.0,35467.0,34520.0,38340.0,49483.0,0.0,113263,153242
FR106,7009.0,373629.0,330521.0,368450.0,307921.0,5.0,633706,661868
DE71C,993.0,51227.0,56141.0,66465.0,82048.0,4.0,169846,165901
DE125,1486.0,19383.0,42896.0,36123.0,29136.0,6.0,86312,80671
UKN12,73.0,26888.0,26533.0,26101.0,31118.0,2.0,57568,65621
DE21I,131.0,14240.0,16579.0,18620.0,22899.0,5.0,43830,43795
FRJ14,15.0,11505.0,11240.0,12130.0,16096.0,0.0,34626,60341
DE928,234.0,20171.0,24157.0,24822.0,39217.0,2.0,79825,80159
DED2D,121.0,31814.0,27620.0,40176.0,59535.0,-3.0,133768,154125
UKH16,109.0,38867.0,35440.0,38427.0,53092.0,2.0,117457,133936
UKN06,2551.0,64904.0,76998.0,70748.0,64102.0,2.0,152079,159521
DE21J,168.0,18448.0,21880.0,25475.0,30551.0,6.0,57344,56491
UKD41,1096.0,32649.0,28965.0,30189.0,29018.0,2.0,60586,61114
DE232,1893.0,18808.0,35852.0,33987.0,30082.0,9.0,91177,92821
FRG02,114.0,150055.0,148458.0,145600.0,157047.0,1.0,354610,390930
DE229,80.0,9809.0,12872.0,13284.0,18856.0,2.0,37359,38838
DEB3I,505.0,21002.0,22710.0,26476.0,37988.0,3.0,71080,73531
DE27C,117.0,20199.0,24790.0,25187.0,33993.0,5.0,65941,65718
DE13A,151.0,24993.0,28565.0,29947.0,39693.0,4.0,79711,83445
NL126,188.0,29975.0,31200.0,30791.0,42652.0,1.0,82940,85775
DE277,121.0,13302.0,16600.0,16905.0,23082.0,3.0,42808,42398
DE938,74.0,18948.0,22928.0,22904.0,33530.0,2.0,68116,68118
DEB1C,89.0,7509.0,9613.0,9525.0,15200.0,-1.0,28236,62810
FRF12,216.0,133754.0,121084.0,142339.0,163345.0,1.0,328853,373349
SI042,95.0,31549.0,27433.0,43998.0,44084.0,0.0,77283,79502
RO315,57.0,43596.0,41238.0,49258.0,54493.0,-5.0,92348,114765
FRK12,25.0,19912.0,18190.0,22357.0,31092.0,-1.0,67963,100979
RO321,7561.0,263755.0,249188.0,519011.0,347164.0,-2.0,715137,865555
FRJ22,32.0,41905.0,37283.0,44104.0,58251.0,0.0,128816,179739
UKN07,149.0,46058.0,39068.0,43531.0,43260.0,5.0,85092,87189
UKN11,76.0,32712.0,28258.0,30750.0,28429.0,4.0,53268,55767
UKH37,1115.0,65461.0,61241.0,66519.0,76612.0,3.0,157156,153016
NL32A,1988.0,38688.0,37205.0,45393.0,49332.0,1.0,108415,75799
DE71E,279.0,42191.0,49729.0,54864.0,74646.0,4.0,144428,142718
DE231,844.0,5254.0,7238.0,7516.0,9595.0,2.0,22841,23334
DE242,1111.0,7889.0,18600.0,12787.0,14631.0,4.0,42365,43073
RO222,68.0,61088.0,62796.0,79558.0,90013.0,-5.0,153390,202418
DE711,1304.0,21800.0,37968.0,32419.0,31027.0,6.0,81229,79325
FRF32,30.0,30841.0,28015.0,31413.0,38531.0,-3.0,82449,99460
DE243,857.0,4812.0,7554.0,7217.0,9225.0,1.0,23096,23929
DE21A,159.0,20696.0,24316.0,27149.0,34769.0,6.0,61509,60503
DEB39,766.0,12029.0,15114.0,15201.0,18444.0,4.0,41471,43216
DE131,1511.0,31234.0,57081.0,48938.0,44197.0,5.0,116536,116470
DE11A,132.0,28532.0,34126.0,36172.0,45703.0,4.0,88341,90437
DE21B,225.0,26379.0,34884.0,37696.0,42472.0,6.0,83915,82878
DE261,1126.0,9379.0,12084.0,13817.0,15883.0,4.0,37145,37840
FRJ28,70.0,48241.0,38513.0,47282.0,53522.0,4.0,111643,129942
UKM76,544.0,26834.0,27079.0,30837.0,36863.0,2.0,73771,75382
RO313,121.0,72477.0,81860.0,109843.0,103204.0,-4.0,166874,217429
DE804,729.0,12646.0,14151.0,17766.0,19737.0,4.0,54748,58089
UKD46,682.0,65392.0,57241.0,62815.0,68026.0,3.0,147563,150559
DE911,1283.0,30267.0,48815.0,49341.0,51980.0,0.0,140935,137600
UKF25,354.0,67669.0,55748.0,67190.0,74612.0,7.0,151963,150482
CH040,885.0,231288.0,258549.0,364080.0,331901.0,6.0,680677,743896
DEA56,791.0,40812.0,50234.0,53161.0,79610.0,0.0,165781,171878
RO221,61.0,40346.0,42022.0,58026.0,63462.0,-6.0,112165,138170
UKJ46,395.0,70620.0,56437.0,68755.0,81951.0,4.0,157104,157536
UKM64,9.0,4085.0,3629.0,4335.0,6237.0,0.0,12805,14768
UKD73,1879.0,45281.0,44024.0,44704.0,60094.0,1.0,124412,127018
DE736,85.0,20707.0,24785.0,25343.0,38514.0,0.0,75762,78518
DE716,451.0,41614.0,48568.0,52957.0,72265.0,4.0,138173,135831
UKJ37,417.0,70195.0,59166.0,76625.0,80976.0,2.0,153959,155416
DEA19,1776.0,22011.0,26361.0,27691.0,38536.0,2.0,83329,82713
DE717,604.0,40659.0,46936.0,53633.0,62651.0,6.0,128386,125274
DEB3D,116.0,10136.0,11468.0,12412.0,18813.0,-1.0,34024,36814
NL323,1152.0,30477.0,35002.0,33025.0,46246.0,2.0,88632,89910
DEA51,2508.0,44243.0,69301.0,67103.0,79892.0,1.0,195861,198527
UKI61,2226.0,64564.0,51203.0,72283.0,70657.0,4.0,147229,139824
FRJ13,188.0,192932.0,218924.0,211332.0,223123.0,5.0,536271,706934
FRF23,69.0,100600.0,106979.0,103078.0,111495.0,0.0,258320,291832
NL414,532.0,117102.0,145244.0,140815.0,169095.0,3.0,352921,345910
DE93B,173.0,19781.0,21513.0,22838.0,32897.0,3.0,65279,64199
