CODE_NUTS3,POP_DENS,POP 0-14,POP 15-29,POP 30-44,POP 45-59,POP_GROWTH,HOUSEHOLDS,DWELLINGS,SURFACE AREA,NTL_avg,NO2_avg,WIND_Avg,Temp_mean_over12yrs,PRESSURE_avg,PRECIPITATION,SOLAR_RAD_avg,LAI_avg
DEA52,2096.0,79274.0,110199.0,111900.0,129034.0,2.0,314343,317139,276.96,51.8385410308838,6.62644444797878,3.51477620999018,9.71558640069432,0.973728772666719,73.709490776062,9640.95628526476,1.50347573558489
DE406,74.0,22129.0,19395.0,30312.0,42381.0,4.0,82001,84579,2244.93,9.00515234085821,3.60076697833008,3.477205058624,9.02168741170451,0.938507742922882,46.2683588937781,10324.1960603561,1.95412464554493
FRD12,82.0,79856.0,72853.0,79923.0,102049.0,-1.0,224582,294982,5985.86,10.1065423833696,2.36985888479605,5.32558391654872,10.9986129890294,1.08592609605288,68.5622927173632,11140.197339759,2.5700174731301
UKE11,3656.0,49565.0,59266.0,51681.0,49209.0,2.0,119758,121704,70.91,55.3645820617676,8.48936410121429,5.40648146470388,9.86736098925273,0.991770838697751,53.4635413487752,9406.57399495443,1.1023548617959
UKJ25,794.0,147583.0,138003.0,151411.0,168532.0,3.0,330170,328917,987.7,35.6780753135681,5.83882408362848,3.84361200302075,10.1850649943719,1.00190571370797,60.293313784477,9885.96729924129,2.38267534233275
FRE11,451.0,500741.0,511956.0,495068.0,493781.0,0.0,1093771,1203975,5688.06,30.285590271155,4.86652777934516,4.43380337790267,10.0349806696857,1.02917841845724,60.9813174286934,10350.2614899378,1.08869646080162
DEA29,403.0,34667.0,41363.0,43396.0,63013.0,2.0,115221,119772,619.82,24.5655861960517,8.91891203920046,3.55719521972868,9.976601017846,0.997729560567273,60.5291282335917,9946.61275906033,1.013399707097
RO113,105.0,99741.0,124780.0,174614.0,131619.0,0.0,261465,343533,6619.44,5.80428525010442,0.935127776750812,1.56917438109716,7.4964791576228,0.876128932966126,56.4970215988159,12600.8393600803,1.68545553117216
DE21N,140.0,19132.0,22176.0,23262.0,32384.0,4.0,64064,64174,957.07,10.2996795727656,2.61849567562054,2.65174768765767,7.69510417591858,0.861815967907508,96.9936346054077,11509.4501241048,3.02114956275277
UKJ11,728.0,186210.0,158988.0,197537.0,189233.0,4.0,377635,377061,1247.98,35.5064104520358,4.96310880162098,3.79033563865556,9.93028872211774,0.984423223468992,58.6462512722722,9854.61504787869,1.82299724613973
DE27B,101.0,20182.0,23555.0,24574.0,33153.0,4.0,65922,66915,1381.03,10.9058641903102,2.56554265132066,2.6654835332323,7.09925415087491,0.83360885773544,104.971739821964,11571.2848149052,3.21317362604719
DE734,183.0,30081.0,34697.0,38039.0,57827.0,1.0,115298,115798,1276.8,13.9455410806756,3.88268518489268,3.51130721856047,8.28750319668756,0.902740158692554,62.9253472398829,9828.28707320602,1.99751852556717
UKG31,4299.0,247318.0,283551.0,228599.0,193900.0,4.0,457306,440439,264.34,62.4166666666667,4.79300925808924,4.2648148338,9.34286270538966,0.969421300623152,70.4513889948527,9548.8842976888,1.471487101454
UKD36,1881.0,116241.0,108001.0,116317.0,130350.0,2.0,272176,271202,323.75,61.6157404581706,4.6699319786369,4.27272857228915,9.12390050292015,0.958971351385117,88.3877320289612,9273.70604705811,1.53356965051757
CH055,257.0,77477.0,95971.0,101938.0,111993.0,3.0,219959,257078,1964.94,18.0475426286172,2.42054554424206,2.70026764273643,6.5986497117301,0.786171149514202,119.464192668597,11969.1820619371,2.8631657390671
