CODE_NUTS3,COVID_Mortality_R,POP_DENS,POP 0-14,POP 15-29,POP 30-44,POP 45-59,POP_GROWTH,HOUSEHOLDS,DWELLINGS
DE142,26.4219407796234,438.0,31881.0,51537.0,42282.0,48801.0,5.0,106570,103622
DE143,41.3685567147002,206.0,25072.0,31629.0,31997.0,45307.0,2.0,88059,90288
DE144,6.32906385234294,1066.0,17280.0,27578.0,26417.0,24951.0,6.0,64300,62962
DE145,13.2920937603844,144.0,29325.0,34311.0,35401.0,46165.0,4.0,85851,88574
DE146,18.030742415819,142.0,30638.0,35382.0,37204.0,46480.0,6.0,88198,91891
DE147,3.70723931156566,325.0,29593.0,35537.0,37851.0,49963.0,4.0,104497,108982
DE148,2.4570887009021,175.0,41238.0,52389.0,51299.0,65886.0,4.0,129108,131006
DE149,27.6597542891827,108.0,18376.0,23292.0,22096.0,31294.0,2.0,58019,60502
DE211,27.8121363380199,1026.0,19091.0,25760.0,30219.0,28429.0,6.0,69229,69274
DE212,15.1276180785212,4746.0,200256.0,283757.0,357407.0,298410.0,5.0,806064,809283
DE213,36.1891275273385,1710.0,8688.0,12156.0,13005.0,13413.0,5.0,33072,32879
DE214,49.4760041379931,195.0,15455.0,18296.0,19490.0,26299.0,4.0,52640,52374
DE215,23.6587835599845,126.0,13468.0,17868.0,19058.0,23699.0,3.0,53022,53475
DE216,7.83392087739914,115.0,18199.0,20986.0,22746.0,30481.0,5.0,60825,61328
DE217,21.9790165036556,267.0,22727.0,26237.0,31269.0,36825.0,7.0,70711,69245
DE218,3.5083041559371,260.0,22147.0,23299.0,27690.0,34532.0,7.0,64118,62344
DE219,15.0388377986149,110.0,20487.0,24087.0,26081.0,30823.0,6.0,58164,58570
DE21A,7.94252500090256,159.0,20696.0,24316.0,27149.0,34769.0,6.0,61509,60503
DE21B,25.5699031123019,225.0,26379.0,34884.0,37696.0,42472.0,6.0,83915,82878
DE21C,16.3493678244441,507.0,32416.0,35129.0,41318.0,50909.0,6.0,104707,102851
DE21D,20.2983862782909,88.0,11120.0,14269.0,14618.0,20830.0,4.0,46766,47863
DE21E,8.33180583559681,149.0,17294.0,20226.0,20957.0,30090.0,4.0,55211,54818
DE21F,10.9997800043999,116.0,13684.0,15669.0,17515.0,24401.0,4.0,49170,50795
DE21G,23.3683281259466,144.0,16220.0,20210.0,20988.0,27603.0,6.0,51506,50667
DE21H,27.3928824160522,528.0,53924.0,56991.0,67617.0,80612.0,6.0,165634,163913
DE21I,18.5469495419934,131.0,14240.0,16579.0,18620.0,22899.0,5.0,43830,43795
DE21J,16.4561326521017,168.0,18448.0,21880.0,25475.0,30551.0,6.0,57344,56491
DE21K,76.064521061081,182.0,36696.0,43639.0,45821.0,63169.0,5.0,121902,121641
