CODE_NUTS3,COVID_Mortality_R,POP_DENS,POP 0-14,POP 15-29,POP 30-44,POP 45-59,POP_GROWTH,HOUSEHOLDS,DWELLINGS,SURFACE AREA,NTL_avg,NO2_avg,WIND_Avg,Temp_mean_over12yrs,PRESSURE_avg,PRECIPITATION,SOLAR_RAD_avg,LAI_avg
FRE21,54.5093214725088,71.0,98792.0,84502.0,94062.0,106759.0,-2.0,227997,263942,7323.73,11.0867674363838,4.5061134285397,4.30654919464537,9.87825366241712,1.01908072633735,58.6612366649276,10798.9110810841,0.866913786088598
FRE22,50.9407091285509,140.0,163784.0,141518.0,159132.0,170337.0,1.0,334497,368987,5822.47,17.4304576927507,4.27353379173714,4.16777480105022,10.1437343458335,1.02719751691765,55.642165639379,10897.3926207396,1.06814339582947
FRE23,40.853684195761,92.0,98849.0,106620.0,101384.0,112783.0,0.0,247452,296826,6133.34,12.6571296755473,3.34147312339916,4.39753736848505,10.0334976437764,1.03491727370992,58.4093730307033,10565.828041794,1.09199018453436
FRD21,13.9928521218926,101.0,117445.0,94285.0,112944.0,125448.0,2.0,252879,292705,5964.02,14.1657407315572,2.7549930094839,4.03248458079718,10.335871592164,1.03576027305314,57.6407857338587,10925.7301892881,1.28110102418906
FRD22,14.7997987227374,198.0,225630.0,225330.0,225196.0,245128.0,0.0,558527,633849,6245.49,18.1046873986721,3.43974037687605,4.76994809546048,10.3331817632486,1.05066697733312,63.295349455081,10643.9148217052,1.63143556335239
FRB01,28.3104961997322,41.0,47954.0,42212.0,48409.0,62644.0,-3.0,139936,177713,7245.89,5.69259256240394,1.97283911945091,3.30230644453003,10.8351712313043,1.040678129797,60.2493655537984,11968.9114218103,0.973780152689632
FRB02,107.659573482868,73.0,82263.0,65200.0,78313.0,88375.0,0.0,182984,213656,5870.03,10.0013084165428,2.76390681607565,4.14845521847407,10.3578449090322,1.02979460272524,52.7059953096178,11398.9143975152,0.43890008074522
FRB03,37.732202594319,32.0,32023.0,29081.0,32962.0,45604.0,-3.0,103287,138104,6843.74,3.61840277910233,1.42701851852514,3.43365938052899,11.3646397694824,1.05632946373728,62.1181049501993,12076.1476691021,0.876906236297831
FRB04,15.2614382838923,99.0,103870.0,106794.0,106850.0,119831.0,1.0,278490,318645,6103.69,8.82601855496566,1.74457060049667,3.93516002732199,11.2909210808035,1.07043226430382,57.1825516143283,11887.5325753769,1.01572584222433
FRB05,19.632124195838,52.0,55201.0,47987.0,54500.0,68918.0,0.0,148850,182656,6362.06,6.29274893968136,2.38017592358368,3.87713592831707,11.0765264168446,1.05365410021373,56.1053240557254,11747.1880670192,1.08721563829038
FRB06,15.2952422972277,100.0,127510.0,115612.0,123226.0,134297.0,2.0,296183,341241,6745.99,10.9749323573054,3.4526643520842,3.72637936040467,10.761857280778,1.04424264991985,54.7924360050875,11675.9118010876,0.999452272743378
FRD11,12.2731453472506,124.0,116656.0,122845.0,119254.0,135665.0,0.0,309454,411666,5528.18,12.9871323792373,2.27520383750792,4.54355292405401,10.7952567259471,1.06774671624104,64.570020139785,11023.6857962472,2.23970526007301
FRD12,10.1411650170372,82.0,79856.0,72853.0,79923.0,102049.0,-1.0,224582,294982,5985.86,10.1065423833696,2.36985888479605,5.32558391654872,10.9986129890294,1.08592609605288,68.5622927173632,11140.197339759,2.5700174731301
FRD13,15.3646605660627,46.0,45163.0,39899.0,43762.0,57325.0,-2.0,127270,164492,6080.13,6.65728224149427,2.27553475068603,3.89657021045685,10.2429760914379,1.02125663253996,62.8355401060316,11247.9862437608,1.70242518671488
FRC11,47.0340444031361,61.0,86726.0,102242.0,94509.0,105022.0,1.0,246027,285069,8722.91,8.29015985974726,2.19240277666874,3.41149599840806,9.73607398658616,0.988669581055266,71.1583573593284,11793.134144717,1.04123208392355
FRC12,13.8997135666169,29.0,28470.0,26073.0,29815.0,41097.0,-5.0,98645,141465,6816.47,4.12466532135584,2.05935763825697,3.13414425600288,10.1746290549636,1.01073658504547,65.9747669187366,11916.020395393,1.19510494076979
FRC13,36.7068503705211,64.0,88535.0,76907.0,89256.0,113949.0,-1.0,252943,308912,8546.67,9.19158074413378,2.03884953526711,3.16256677435759,10.5145894681605,1.01278412208343,70.4438490867615,12076.4519189688,0.994787272226207
FRC14,28.2052271708376,45.0,57561.0,47520.0,56816.0,68721.0,-1.0,150868,195645,7389.58,7.01694138045167,2.41870833298674,3.34171152717612,10.2463112586223,1.02306531408753,60.587676926945,11614.1462754382,0.900569991365832
FRE11,26.2017146710336,451.0,500741.0,511956.0,495068.0,493781.0,0.0,1093771,1203975,5688.06,30.285590271155,4.86652777934516,4.43380337790267,10.0349806696857,1.02917841845724,60.9813174286934,10350.2614899378,1.08869646080162
FRE12,2.25283806395193,219.0,278337.0,253232.0,273127.0,291055.0,0.0,608848,707568,6616.55,20.2688271575504,4.7980277808728,4.61039585068943,10.1295733623873,1.03407758946826,57.2783157457181,10347.201118035,1.23608140335943
FRF31,49.816973803096,139.0,123918.0,143666.0,133917.0,142034.0,0.0,330944,372828,5227.33,15.4311868602579,4.07514699239422,3.16512910249906,9.50011395945763,0.965616448796712,67.4044783469958,11485.3658741486,1.19624486799435
FRF32,55.8229275060701,30.0,30841.0,28015.0,31413.0,38531.0,-3.0,82449,99460,6165.65,7.20138889306212,3.65993055734369,3.05300617032581,9.67014043158955,0.971529005434778,66.0613965479533,11230.8344425456,0.886274219103957
FRF33,82.3425391777895,166.0,172903.0,171005.0,194446.0,220567.0,0.0,451021,510136,6181.74,17.5032118067145,3.60654167025178,3.27648898851764,9.46308966967705,0.962272816278913,69.202554191555,11188.4069015915,1.1596752586354
FRF34,73.9337752745518,61.0,57060.0,53165.0,58842.0,77047.0,-3.0,165364,212733,5837.77,11.9077818569015,3.31792052619987,3.27974295836908,8.83496174738954,0.936758855426753,79.5407020427563,11656.5135444359,2.06501736050206
FRF11,60.8840146227983,235.0,188781.0,211965.0,211403.0,235347.0,2.0,489052,545894,4746.27,21.1775621134659,4.5838796308747,3.08716945257564,9.65641181178307,0.97975566903245,68.0010102158886,11126.9451518086,1.64978790220704
FRF12,108.983463628244,216.0,133754.0,121084.0,142339.0,163345.0,1.0,328853,373349,3497.24,20.7212532509205,3.43690277911999,3.00999946603479,9.28095794704476,0.952313063680664,73.8514212600945,11576.3149858815,2.0886245404229
FRC21,28.1348101640704,103.0,98516.0,99526.0,100116.0,103530.0,1.0,242423,277328,5211.05,12.7754237773055,2.2610346455395,2.67290672007948,8.43593479028883,0.908504412470696,100.101435989141,11970.3196125031,1.84131677569897
FRC22,23.1762242840478,51.0,43533.0,37887.0,43962.0,54525.0,0.0,117847,148203,5009.13,9.75671675166146,2.21641656478508,2.87609039830883,9.48254750687878,0.943053626221174,97.7959915127671,12142.9849846377,1.65259429900937
FRC23,32.9703737641462,43.0,39775.0,32957.0,39563.0,49833.0,-2.0,103955,126517,5339.67,7.3212064073157,2.39488888780276,2.74097133171864,9.8812731647458,0.995862357776899,84.17745728615,11818.9649764623,1.63868449370619
FRC24,139.605335715931,235.0,25588.0,25311.0,26245.0,28368.0,0.0,64760,71864,605.29,21.2578122615814,2.86341435324263,2.65978009360177,9.15433202400094,0.958911211008117,82.8860781079247,11732.021164667,2.13923611044884
