COUNTRY,NUTS2,NUTS3,CODE,CODE_NUTS2,CODE_NUTS3,POPULATION,POP_DENS,POP>=60,%POP>=60,FEMEALES,%FEMEALS,POP 0-14,POP 15-29,POP 30-44,POP 45-59,POP_GROWTH,HOUSEHOLDS,DWELLINGS,SURFACE AREA,UNEM_R,D_MEDICALE,COPD %,Respiratory dis mortality,Smokers %,Diabetes %,Diabetes mortality,Cardiovascular dis mortality,BEDS_Intcare/reanim,COVID19_D,COVID_Mortality_R,COVID19_CCONF,COVID_Cases_R,COVID19_TESTS,DURATION_LD (days),Lag_1stCase-LD (days),LD_SEVEIRTY_W1,LD_SEVEIRTY_W2,LD_SEVEIRTY_W3,LD_SEVEIRTY_W4,LD_SEVEIRTY_W5,LD_SEVEIRTY_W6,LD_SEVEIRTY_W7,LD_SEVEIRTY_W8,LD_SEVEIRTY_W9,LD_SEVEIRTY_W10,LD_SEVEIRTY_W11,LD_SEVEIRTY_W12,LD_SEVEIRTY_W13,LD_SEVEIRTY_W14,LD_SEVEIRTY_W15,LD_SEVEIRTY_W16,LD_SEVEIRTY_W17,LD_SEVEIRTY_W18,LD_SEVEIRTY_W19,LD_SEVEIRTY_W20,LD_SEVEIRTY_W21,LD_SEVEIRTY_W22,LD_SEVEIRTY_W23,LD_SEVEIRTY_W24,LD_SEVEIRTY_W25,LD_SEVEIRTY_W26,LD_SEVEIRTY_W27,LD_SEVEIRTY_W28,LD_SEVEIRTY_W29,LD_SEVEIRTY_W30,LD_SEVEIRTY_W31,LD_SEVEIRTY_W32,LD_SEVEIRTY_W33,LD_SEVEIRTY_W34,LD_SEVEIRTY_W35,NO2_avg,WIND_Avg,Temp_mean_over12yrs,NTL_avg,PRESSURE_avg,PRECIPITATION,SOLAR_RAD_avg,LAI_avg
Austria,Oberösterreich,-,AT,AT31,-,1501687,,371187,24.7180004887836,756529,50.378607526069,227063,266677,291566,345194,,,,,3.2,421.56,5.08186219256064,63.24,19.3682136282913,5.65996577925185,28.95,355.02,381,64,4.26187347962658,3814,253.981022676496,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Austria,Oberösterreich,Innviertel,AT,AT31,AT311,291433,103,71484,24.5284507931497,145596,49.9586525891028,43343,52158,55779,68669,5,117696,135672,2793.64,,,,,,,,,,,,518,177.74239705181,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.26312457473575,2.11221063809068,8.17393621963828,10.415123462677,0.901205231965173,86.3323634091546,10806.8333596622,2.57675307003179
Austria,Oberösterreich,Linz-Wels,AT,AT31,AT312,600022,344,145265,24.2099456353267,304517,50.750972464343,90203,108943,120856,134755,6,273583,308673,1726.55,,,,,,,,,,,,2166,360.98676381866,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0399223539124,1.94728007829852,8.51426504597313,20.2238754544939,0.910022664711707,75.5066550307804,10786.5109786987,2.06263783627008
Austria,Oberösterreich,Mühlviertel,AT,AT31,AT313,211955,80,50783,23.9593309900686,105158,49.6133613266967,33975,37179,40401,49617,3,82224,96374,2632.84,,,,,,,,,,,,1130,533.132032742799,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09169541434925,2.32469009680133,6.98725732217633,8.11405723745173,0.832081464910379,76.3143481592978,10782.4642754011,2.9324241659858
Austria,Oberösterreich,Steyr-Kirchdorf,AT,AT31,AT314,157280,70,41368,26.3021363173957,79192,50.3509664292981,23417,27481,28805,36209,3,67312,80082,2217.72,,,,,,,,,,,,444,282.299084435402,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85067804159965,2.15891202143681,7.03477584334941,5.07425211427304,0.813155218958855,85.168681356642,10856.5934696904,2.69488524332225
Austria,Oberösterreich,Traunviertel,AT,AT31,AT315,240997,96,62287,25.8455499446051,122066,50.6504230343116,36125,40916,45725,55944,4,102630,130799,2493.01,,,,,,,,,,,,435,180.500172201314,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88460317260184,2.33220678435432,6.78898919458216,8.41550918618838,0.810547646135092,113.445814026727,10834.826614719,2.6713893424861
Austria,Salzburg,-,AT,AT32,-,562412,,139609,24.8232612390916,287331,51.0890592661608,82281,100240,112366,127916,,,,,2.8,568.33,3.53702614831212,52.95,19.7552054510238,3.36408757609297,20.69,315.65,183,39,6.93441818453376,1682,299.069009907328,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
Austria,Salzburg,Lungau,AT,AT32,AT321,20545,20,5565,27.0868824531516,10337,50.3139449987832,2878,3597,3656,4849,0,7900,9742,1011.76,,,,,,,,,,,,29,141.153565344366,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57380971714588,3.53445601065954,1.97634261194617,4.27628968602845,0.602565393100182,131.682985750834,11444.8282714844,1.93317716699286
Austria,Salzburg,Pinzgau-Pongau,AT,AT32,AT322,170148,39,41927,24.6414885864071,86311,50.727014128876,25580,30085,32946,39610,4,70535,99317,4361.19,,,,,,,,,,,,889,522.486306039448,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8182233816909,3.08835494893152,3.47364933940702,8.04900423732569,0.643410748280819,113.126965444793,11542.1329840894,1.88732600215732
Austria,Salzburg,Salzburg und Umgebung,AT,AT32,AT323,371719,214,92117,24.781353656929,190683,51.29761997638,53823,66558,75764,83457,6,165550,194995,1723.32,,,,,,,,,,,,764,205.531597792957,,46,20,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2>0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20784658394505,2.24169971309011,6.88955024943968,12.2480159856024,0.800288523473437,112.634810038975,10944.6065906343,2.62130386382341
